CODGEO,P21_POP,P15_POP,SUPERF,NAIS1520,DECE1520,P21_MEN,NAISD22,DECESD22,P21_LOG,P21_RP,P21_RSECOCC,P21_LOGVAC,P21_RP_PROP,NBMENFISC21,PIMP21,MED21,TP6021,P21_EMPLT,P21_EMPLT_SAL,P15_EMPLT,P21_POP1564,P21_CHOM1564,P21_ACT1564,ETTOT21,ETAZ21,ETBE21,ETFZ21,ETGU21,ETGZ21,ETOQ21,ETTEF121,ETTEFP1021,REG,%_evol_creations_etabl,indicateur_dvm,prix_m2_logmts,%_evol_nb_ventes_logmts,%_evol_prix_m2_logmts,prix_m2_locaux,%_evol_nb_ventes_locaux,%_evol_prix_m2_locaux,pop_0_29ans,ind_jeunesse,tx_scolarisation,tx_pop_sans_diplome,tx_pop_bac+2_ou_+,densite_demographique,tx_evol_demographique,tx_vacance_log,tx_activite,tx_chomage,part_emplois_salaries,part_emplois_dans_la_commune,densite_etablissements,tx_etablissements,part_Ets_agriculture,part_Ets_industrie,part_Ets_construction,part_Ets_commerce_services,part_Ets_adm_publique,part_Ets_1_a_9_salariés,part_Ets_10_salaries_ou_+,population_category
91544,489.0,510.0,8.81,29.0,21.0,201.42117646905,6.0,3.0,235.000123837471,201.42117646905,9.32748538011697,24.2514619883041,186.551127510924,198.0,0.0,28770.0,0.0,54.5632568519703,35.2440136200172,54.852855615946,291.194406512032,13.5314947386843,231.379354075409,14.0,2.0,1.0,3.0,6.0,1.0,2.0,12.0,1.0,11,1.4,0.871994342291372,2574.157894736842,-0.16,0.23,,,,162.0,0.33,0.99,0.09,0.42,55.51,-0.04,0.1,0.79,0.05,0.65,0.19,1.59,0.07,0.1429,0.0714,0.2143,0.4286,0.1429,0.8571,0.0714,0-500
91546,952.0,1003.0,9.89,77.0,36.0,407.326903293366,12.0,2.0,485.876485592642,407.326903293366,24.8051312524031,53.7444510468734,361.087463791056,410.0,0.0,30850.0,0.0,145.860524141173,89.8936978255095,116.728770587883,605.167382984011,34.7407762741397,481.691537348032,30.0,2.0,2.0,9.0,15.0,2.0,2.0,23.0,3.0,11,0.92,2.0131666666666668,2955.5227272727275,0.4,0.13,,,,317.0,0.33,0.96,0.15,0.44,96.26,-0.05,0.11,0.8,0.06,0.62,0.24,3.03,0.07,0.0667,0.0667,0.3,0.5,0.0667,0.7667,0.1,501-1k
91547,473.0,540.0,12.0,37.0,19.0,189.736570012746,11.0,3.0,215.083792234968,189.736570012746,9.12500000000001,16.2222222222222,172.047551042044,190.0,0.0,27050.0,0.0,52.9191869457717,41.9625133023433,57.1905014507351,312.79945135709,20.4263999132297,261.843885719072,7.0,2.0,1.0,0.0,2.0,1.0,2.0,5.0,1.0,11,8.0,2.2994505494505493,2262.904761904762,0.56,0.18,,,,180.0,0.38,0.95,0.11,0.31,39.42,-0.12,0.08,0.84,0.07,0.79,0.17,0.58,0.04,0.2857,0.1429,0.0,0.2857,0.2857,0.7143,0.1429,0-500
91549,35846.0,35857.0,9.27,3002.0,1590.0,14926.3027391003,454.0,267.0,15491.4705446781,14926.3027391003,145.840749939387,419.327055638403,8734.28892394657,14489.0,63.0,24370.0,0.16,10341.6552112958,8998.57533284425,10552.977967451,22427.380054443,1954.76345241256,17157.8254535004,1045.0,0.0,59.0,159.0,726.0,285.0,101.0,774.0,191.0,11,1.25,0.9576321197177784,3811.3461995249404,0.11,0.11,4924.637037037037,0.31,-0.05,13370.0,0.37,0.96,0.21,0.34,3866.88,-0.0,0.03,0.77,0.09,0.87,0.46,112.73,0.07,0.0,0.0565,0.1522,0.6947,0.0967,0.7407,0.1828,20k-50k
91552,11305.0,10282.0,6.31,912.0,350.0,3995.79932515667,152.0,79.0,4270.44099054444,3995.79932515667,67.7033702574021,206.938295130371,2616.85741914872,3938.0,63.0,24340.0,0.12,2098.52292381685,1874.26667355394,2264.36805127657,7254.01623345245,595.179599356797,5523.71830522327,172.0,0.0,8.0,42.0,104.0,34.0,18.0,136.0,26.0,11,1.19,1.0969305622789818,3214.008016032064,0.07,0.06,2518.4,-0.25,0.67,4736.0,0.42,0.97,0.24,0.28,1791.6,0.1,0.05,0.76,0.08,0.89,0.29,27.26,0.04,0.0,0.0465,0.2442,0.6047,0.1047,0.7907,0.1512,10k-20k
91553,7472.0,7462.0,4.93,446.0,318.0,3055.1863020367,92.0,57.0,3184.178837236,3055.1863020367,26.1864545141437,102.806080685157,2344.11016092442,3011.0,74.0,29890.0,0.07,1235.03682448045,1013.61533335705,1183.41805289431,4485.08975193005,291.182516110772,3503.27367253887,144.0,0.0,2.0,19.0,106.0,30.0,17.0,108.0,24.0,11,0.21,1.2943839277303175,3423.0558035714284,-0.08,0.05,3022.3333333333335,-0.05,0.47,2710.0,0.36,0.98,0.11,0.47,1515.62,0.0,0.03,0.78,0.06,0.82,0.28,29.21,0.05,0.0,0.0139,0.1319,0.7361,0.1181,0.75,0.1667,5k-10k
91556,405.0,400.0,6.79,28.0,6.0,159.097053195046,5.0,2.0,180.763719861713,159.097053195046,7.22222222222222,14.4444444444444,145.04884811945,160.0,0.0,28180.0,0.0,33.1200968789177,25.1879744839747,39.224874117116,256.513197779927,15.1528186738198,208.349657201587,3.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,11,0.56,1.3544776119402986,3478.84375,0.0,0.63,,,,169.0,0.42,0.99,0.13,0.42,59.65,0.01,0.08,0.81,0.06,0.76,0.13,0.44,0.02,0.0,0.0,0.0,0.3333,0.6667,1.0,0.0,0-500
91560,476.0,370.0,3.97,33.0,12.0,184.661068789097,4.0,3.0,198.696156508396,184.661068789097,4.21052631578947,9.82456140350876,117.320081422829,166.0,0.0,28890.0,0.0,46.8384080340917,29.387513256182,47.8758543379687,316.381776100069,10.31643649854,256.861930402356,21.0,0.0,1.0,3.0,15.0,10.0,2.0,17.0,1.0,11,0.12,0.9111807732497388,4998.0,0.04,0.52,,,,190.0,0.4,1.0,0.13,0.44,119.9,0.29,0.05,0.81,0.03,0.63,0.15,5.29,0.11,0.0,0.0476,0.1429,0.7143,0.0952,0.8095,0.0476,0-500
91568,1536.0,1582.0,9.03,85.0,36.0,601.181188570015,17.0,10.0,642.15676777123,601.181188570015,12.2926737603645,28.6829054408506,554.864935933099,593.0,0.0,32930.0,0.0,82.079718887494,60.3640257478037,92.7940284203668,1011.40556837742,43.589468803958,804.312302617589,20.0,1.0,1.0,1.0,15.0,3.0,2.0,19.0,1.0,11,1.05,1.083523592085236,3097.0,-0.09,0.02,,,,500.0,0.33,1.0,0.1,0.44,170.1,-0.03,0.04,0.8,0.04,0.74,0.08,2.21,0.03,0.05,0.05,0.05,0.75,0.1,0.95,0.05,1k-2k
91570,21437.0,20160.0,5.29,1792.0,761.0,8895.89689533256,308.0,135.0,9775.58301385745,8895.89689533256,108.572625651919,771.113492872973,4616.0011610428,8850.0,61.0,23160.0,0.16,4517.62402756448,4036.74399896926,4269.28019702117,13325.4515020422,1376.40911409715,10358.3188416284,450.0,1.0,29.0,95.0,269.0,72.0,56.0,326.0,73.0,11,1.71,0.9762248408825674,3012.422177009156,-0.12,0.01,3442.9622641509436,1.12,0.65,8524.0,0.4,0.97,0.19,0.34,4052.36,0.06,0.08,0.78,0.1,0.89,0.34,85.07,0.05,0.0022,0.0644,0.2111,0.5978,0.1244,0.7244,0.1622,20k-50k
