dateDebut,duree_observation_etab
1998-01,5.7215189873417724
1998-02,5.5476190476190474
1998-03,5.445945945945946
1998-04,5.285714285714286
1998-05,4.921568627450981
1998-06,6.670731707317073
1998-07,4.830508474576271
1998-08,7.918918918918919
1998-09,4.961538461538462
1998-10,5.533333333333333
1998-11,6.361702127659575
1998-12,6.076612903225806
1999-01,6.436619718309859
1999-02,6.333333333333333
1999-03,5.711111111111111
1999-04,4.479166666666667
1999-05,6.048780487804878
1999-06,7.252427184466019
1999-07,4.797101449275362
1999-08,5.82051282051282
1999-09,7.423529411764706
1999-10,6.277777777777778
1999-11,6.428571428571429
1999-12,6.276679841897233
2000-01,6.978021978021978
2000-02,6.196428571428571
2000-03,8.220930232558139
2000-04,5.148936170212766
2000-05,5.854838709677419
2000-06,7.836956521739131
2000-07,5.409836065573771
2000-08,4.96875
2000-09,6.274725274725275
2000-10,5.583333333333333
2000-11,5.042553191489362
2000-12,5.0
2001-01,6.9523809523809526
2001-02,5.119047619047619
2001-03,5.8431372549019605
2001-04,5.372093023255814
2001-05,5.931818181818182
2001-06,6.305555555555555
2001-07,7.388059701492537
2001-08,4.75
2001-09,6.765432098765432
2001-10,6.74
2001-11,5.9245283018867925
2001-12,5.364372469635628
2002-01,6.23404255319149
2002-02,4.880952380952381
2002-03,7.108108108108108
2002-04,5.838709677419355
2002-05,7.117647058823529
2002-06,7.202247191011236
2002-07,6.757575757575758
2002-08,5.4
2002-09,6.875
2002-10,6.225806451612903
2002-11,5.45
2002-12,5.872037914691943
2003-01,6.777777777777778
2003-02,5.031746031746032
2003-03,7.275510204081633
2003-04,7.416666666666667
2003-05,7.298245614035087
2003-06,6.558558558558558
2003-07,8.166666666666666
2003-08,4.14
2003-09,5.559139784946237
2003-10,6.386666666666667
2003-11,5.492957746478873
2003-12,6.186619718309859
2004-01,7.568181818181818
2004-02,7.148148148148148
2004-03,5.881818181818182
2004-04,7.7894736842105265
2004-05,6.904109589041096
2004-06,8.304964539007091
2004-07,7.097560975609756
2004-08,6.659090909090909
2004-09,6.262135922330097
2004-10,6.026666666666666
2004-11,5.6440677966101696
2004-12,6.585774058577406
2005-01,6.774436090225564
2005-02,5.513888888888889
2005-03,6.991666666666666
2005-04,6.966666666666667
2005-05,7.157894736842105
2005-06,7.131782945736434
2005-07,5.364864864864865
2005-08,5.804878048780488
2005-09,6.559523809523809
2005-10,6.133333333333334
2005-11,4.621621621621622
2005-12,8.146341463414634
2006-01,6.7701149425287355
2006-02,7.015625
2006-03,6.377777777777778
2006-04,7.119047619047619
2006-05,7.057971014492754
2006-06,8.433962264150944
2006-07,7.069444444444445
2006-08,4.098039215686274
2006-09,6.121212121212121
2006-10,5.205882352941177
2006-11,6.907692307692308
2006-12,7.061111111111111
2007-01,7.147058823529412
2007-02,6.0
2007-03,6.153846153846154
2007-04,5.0
2007-05,5.231884057971015
2007-06,6.397849462365591
2007-07,6.056338028169014
2007-08,6.469387755102041
2007-09,6.552631578947368
2007-10,4.1
2007-11,4.319148936170213
2007-12,7.112903225806452
2008-01,9.204433497536947
2008-02,6.081081081081081
2008-03,7.896551724137931
2008-04,5.888888888888889
2008-05,5.466666666666667
2008-06,7.380952380952381
2008-07,6.393258426966292
2008-08,6.959183673469388
2008-09,5.707964601769912
2008-10,6.90566037735849
2008-11,4.91764705882353
2008-12,7.362244897959184
2009-01,7.389380530973451
2009-02,7.101449275362318
2009-03,7.616541353383458
2009-04,4.686046511627907
2009-05,6.140625
2009-06,6.3106060606060606
2009-07,6.698412698412699
2009-08,4.824561403508772
2009-09,6.601769911504425
2009-10,4.451612903225806
2009-11,6.21505376344086
2009-12,8.179245283018869
2010-01,5.9
2010-02,6.644736842105263
2010-03,6.308943089430894
2010-04,5.2967032967032965
2010-05,6.462365591397849
2010-06,6.777777777777778
2010-07,7.255102040816326
2010-08,5.905405405405405
2010-09,4.316831683168317
2010-10,5.777777777777778
2010-11,7.070422535211268
2010-12,6.095041322314049
2011-01,6.309523809523809
2011-02,4.880952380952381
2011-03,6.469135802469136
2011-04,5.1938775510204085
2011-05,4.487394957983193
2011-06,5.269230769230769
2011-07,4.62280701754386
2011-08,5.841463414634147
2011-09,3.9084967320261437
2011-10,5.044642857142857
2011-11,3.123076923076923
2011-12,6.33933933933934
2012-01,5.859375
2012-02,5.628571428571429
2012-03,5.222222222222222
2012-04,5.281818181818182
2012-05,4.709677419354839
2012-06,5.6692307692307695
2012-07,6.017543859649122
2012-08,3.472972972972973
2012-09,4.415584415584416
2012-10,5.191489361702128
2012-11,4.7368421052631575
2012-12,5.162629757785467
2013-01,5.346666666666667
2013-02,3.925373134328358
2013-03,6.7384615384615385
2013-04,6.184782608695652
2013-05,4.315217391304348
2013-06,4.707482993197279
2013-07,4.872727272727273
2013-08,4.134831460674158
2013-09,6.191082802547771
2013-10,4.357664233576642
2013-11,4.211111111111111
2013-12,5.82509505703422
2014-01,5.77456647398844
2014-02,3.63302752293578
2014-03,6.323741007194244
2014-04,4.177083333333333
2014-05,6.5327102803738315
2014-06,5.877300613496932
2014-07,4.469026548672566
2014-08,3.3
2014-09,5.294871794871795
2014-10,4.614678899082569
2014-11,4.801724137931035
2014-12,6.4031746031746035
2015-01,5.006622516556291
2015-02,6.209876543209877
2015-03,5.045454545454546
2015-04,6.345794392523365
2015-05,5.8478260869565215
2015-06,7.036496350364963
2015-07,5.00763358778626
2015-08,3.475609756097561
2015-09,5.72108843537415
2015-10,5.02803738317757
2015-11,5.977099236641221
2015-12,6.382857142857143
2016-01,5.68361581920904
