zone_emploi,indicateur_forecast,indicateur_forecast_carre
Rouen,1.3670949189191426,1.868948517334537
Caen,1.142253267575267,1.3047425272863746
Le Havre,0.9104614102828741,0.82893997961428
Evreux,1.1435045611173882,1.3076026812962707
Cherbourg en Cotentin,0.8677729711382073,0.7530299294380319
Dieppe-Caux maritime,0.9247061296767433,0.8550814262617419
Honfleur Pont-Audemer,1.2100129455033732,1.4641313282857493
Vernon-Gisors,0.9387313633048995,0.8812165724522751
Saint-Lô,1.0621052509745577,1.128067564147728
Flers,1.083477354849131,1.1739231784708697
Avranches,1.1910976201987058,1.4187135408430205
Alençon,0.9096231569490048,0.8274142876578737
Lisieux,0.9201523092794235,0.8466802722722558
Yvetot-Vallée du Commerce,1.1711997114578554,1.3717087641189638
Coutances,0.9913715345631645,0.9828175195421237
Bernay,0.9053812796267637,0.8197152614985962
Granville,1.118783109823286,1.251675646825863
L'Aigle,1.3583645783484215,1.8451543277116849
Argentan,1.0106077897577044,1.0213281047189524
Vire Normandie,1.1813998447598502,1.395705593198598
La Vallée de la Bresle-Vimeu,0.9937981293801553,0.987634721959496
Nogent-le-Rotrou,1.1028324195859152,1.216239345689724
Dreux,1.3209004160740716,1.7447779091846556
Beauvais,1.139234231410423,1.297854634017297
Paris,0.9580223691844877,0.9178068598578588
Roissy,0.9743181559284201,0.9492958689717571
Seine-Yvelinoise,0.9158618304783923,0.8388028925272314
Versailles-Saint-Quentin,0.9627831448314713,0.9269513839715778
Cergy-Vexin,0.9282196324650438,0.861591686093541
Evry,0.9380398899985444,0.8799188352284812
Saclay,0.8567115867351304,0.7339547428462249
Marne-la-Vallée,0.9841665312779136,0.9685837612876006
Fontainebleau-Nemours,0.9071470954617891,0.8229158528047602
Meaux,-1.241389135099305e+32,1.5410469847426004e+64
Melun,1.0418816075913637,1.0855172842371643
Etampes,0.8589317549742992,0.7377637597032295
Rambouillet,1.0259463531613773,1.0525659195651296
Coulommiers,1.04745887701228,1.0971700990318265
Provins,0.9638683289289024,0.9290421555121948
