dateDebut,duree_observation_etab
1998-01,11.333333333333334
1998-02,10.0
1998-03,8.0
1998-04,8.333333333333334
1998-05,10.75
1998-06,8.7
1998-07,22.25
1998-08,3.4
1998-09,7.5
1998-10,17.0
1998-11,5.75
1998-12,7.714285714285714
1999-01,3.111111111111111
1999-02,3.5
1999-03,11.666666666666666
1999-04,12.75
1999-05,6.0
1999-06,11.133333333333333
1999-07,4.833333333333333
1999-08,10.25
1999-09,23.25
1999-10,8.0
1999-11,5.0
1999-12,6.5
2000-01,5.6
2000-02,12.0
2000-03,7.714285714285714
2000-04,1.6666666666666667
2000-05,14.0
2000-06,5.642857142857143
2000-07,6.833333333333333
2000-08,3.0
2000-09,10.764705882352942
2000-10,10.285714285714286
2000-11,4.666666666666667
2000-12,5.0344827586206895
2001-01,10.0
2001-02,7.25
2001-03,12.636363636363637
2001-04,9.5
2001-05,1.0
2001-06,8.533333333333333
2001-07,3.875
2001-08,8.666666666666666
2001-09,9.5
2001-10,6.25
2001-11,14.333333333333334
2001-12,7.958333333333333
2002-01,4.375
2002-02,4.75
2002-03,8.625
2002-04,13.0
2002-05,6.5
2002-06,8.928571428571429
2002-07,4.2
2002-08,14.666666666666666
2002-09,9.538461538461538
2002-10,10.2
2002-11,10.333333333333334
2002-12,9.074074074074074
2003-01,4.833333333333333
2003-02,10.666666666666666
2003-03,9.214285714285714
2003-04,3.0
2003-05,12.8
2003-06,9.588235294117647
2003-07,5.363636363636363
2003-08,10.125
2003-09,7.583333333333333
2003-10,5.8
2003-11,4.833333333333333
2003-12,13.275
2004-01,20.0
2004-02,12.3
2004-03,11.0
2004-04,5.75
2004-05,6.636363636363637
2004-06,9.142857142857142
2004-07,12.375
2004-08,3.4444444444444446
2004-09,9.2
2004-10,4.923076923076923
2004-11,3.4545454545454546
2004-12,8.9
2005-01,6.428571428571429
2005-02,4.888888888888889
2005-03,9.666666666666666
2005-04,6.6
2005-05,20.666666666666668
2005-06,8.142857142857142
2005-07,5.0
2005-08,8.6
2005-09,10.25
2005-10,9.375
2005-11,1.8888888888888888
2005-12,9.566666666666666
2006-01,7.357142857142857
2006-03,9.294117647058824
2006-04,9.23076923076923
2006-05,7.666666666666667
2006-06,5.222222222222222
2006-07,19.0
2006-09,10.222222222222221
2006-10,7.0
2006-11,22.428571428571427
2006-12,11.88888888888889
2007-01,6.5625
2007-02,8.25
2007-03,11.461538461538462
2007-04,9.833333333333334
2007-05,10.0
2007-06,7.066666666666666
2007-07,8.466666666666667
2007-08,6.75
2007-09,8.0
2007-10,16.375
2007-11,3.875
2007-12,6.6923076923076925
2008-01,13.846153846153847
2008-02,8.5
2008-03,8.0
2008-04,11.571428571428571
2008-05,3.6
2008-06,17.1
2008-07,6.75
2008-08,5.833333333333333
2008-09,8.928571428571429
2008-10,6.2
2008-11,7.0
2008-12,9.714285714285714
2009-01,15.461538461538462
2009-02,8.6
2009-03,14.521739130434783
2009-04,4.9
2009-05,27.428571428571427
2009-06,4.761904761904762
2009-07,1.3
2009-08,12.444444444444445
2009-09,8.916666666666666
2009-10,5.0
2009-11,9.545454545454545
2009-12,15.342105263157896
2010-01,10.733333333333333
2010-02,5.7
2010-03,5.6875
2010-04,4.5
2010-05,10.0
2010-06,8.125
2010-07,4.3
2010-08,12.0
2010-09,7.117647058823529
2010-10,4.2
2010-11,8.727272727272727
2010-12,9.529411764705882
2011-01,15.7
2011-02,7.857142857142857
2011-03,5.2727272727272725
2011-04,10.588235294117647
2011-05,7.363636363636363
2011-06,11.277777777777779
2011-07,5.428571428571429
2011-08,4.923076923076923
2011-09,10.941176470588236
2011-10,3.1
2011-11,1.4444444444444444
2011-12,7.642857142857143
2012-01,6.733333333333333
2012-02,7.0
2012-03,4.714285714285714
2012-04,4.733333333333333
2012-05,3.2
2012-06,4.266666666666667
2012-07,4.875
2012-08,2.5
2012-09,7.642857142857143
2012-10,6.230769230769231
2012-11,6.157894736842105
2012-12,5.363636363636363
2013-01,3.380952380952381
2013-02,6.8
2013-03,3.8823529411764706
2013-04,6.4
2013-05,3.0
2013-06,9.176470588235293
2013-07,4.7
2013-08,4.6923076923076925
2013-09,7.0625
2013-10,3.0714285714285716
2013-11,4.666666666666667
2013-12,6.266666666666667
2014-01,7.2272727272727275
2014-02,4.7272727272727275
2014-03,6.470588235294118
2014-04,4.0
2014-05,5.071428571428571
2014-06,6.0
2014-07,7.294117647058823
2014-08,2.6666666666666665
2014-09,5.578947368421052
2014-10,5.5
2014-11,8.333333333333334
2014-12,10.023809523809524
2015-01,3.823529411764706
2015-02,5.769230769230769
2015-03,13.961538461538462
2015-04,5.285714285714286
2015-05,4.4375
2015-06,10.2
2015-07,6.15
2015-08,5.0
2015-09,5.3478260869565215
2015-10,4.666666666666667
2015-11,5.083333333333333
2015-12,7.673076923076923
2016-01,9.470588235294118
2016-02,6.363636363636363
2016-03,6.3
2016-04,12.6
2016-05,6.3
2016-06,7.9523809523809526
2016-07,8.266666666666667
2016-08,6.933333333333334
2016-09,8.444444444444445
2016-10,5.2
2016-11,11.0
2016-12,8.526315789473685
2017-01,7.0
2017-02,6.5
2017-03,7.066666666666666
2017-04,8.0
2017-05,6.0
2017-06,7.235294117647059
2017-07,7.142857142857143
2017-08,9.555555555555555
2017-09,10.142857142857142
2017-10,8.4375
2017-11,9.777777777777779
2017-12,13.235294117647058
2018-01,8.875
2018-02,6.142857142857143
2018-03,7.055555555555555
2018-04,8.181818181818182
2018-05,7.6875
2018-06,11.789473684210526
2018-07,6.2
2018-08,4.571428571428571
2018-09,15.222222222222221
2018-10,7.176470588235294
2018-11,6.083333333333333
2018-12,8.243243243243244
2019-01,8.4
2019-02,5.923076923076923
2019-03,9.666666666666666
2019-04,7.388888888888889
2019-05,8.777777777777779
2019-06,4.5
2019-07,4.466666666666667
2019-08,5.9
2019-09,6.294117647058823
2019-10,11.272727272727273
2019-11,5.090909090909091
2019-12,7.696969696969697
2020-01,7.75
2020-02,3.7333333333333334
2020-03,6.777777777777778
2020-04,7.666666666666667
2020-05,10.76923076923077
2020-06,3.3333333333333335
2020-07,4.111111111111111
2020-08,3.2
2020-09,8.777777777777779
2020-10,6.75
2020-11,5.1875
2020-12,6.2823529411764705
2021-01,6.5625
2021-02,11.3
2021-03,10.473684210526315
2021-04,6.0
2021-05,8.0
2021-06,5.933333333333334
2021-07,5.6
2021-08,4.214285714285714
2021-09,8.117647058823529
2021-10,8.153846153846153
2021-11,8.1
2021-12,6.630952380952381
2022-01,8.11111111111111
2022-02,4.2
2022-03,8.0
2022-04,6.4
2022-05,11.0
2022-06,8.166666666666666
2022-07,7.923076923076923
2022-08,4.166666666666667
2022-09,4.05
2022-10,6.157894736842105
2022-11,9.411764705882353
2022-12,6.074074074074074
2023-01,5.130434782608695
2023-02,7.3125
2023-03,6.190476190476191
2023-04,10.75
2023-05,6.928571428571429
2023-06,6.2
2023-07,10.0
2023-08,14.0
2023-09,3.3333333333333335
2023-10,5.055555555555555
2023-11,3.888888888888889
2023-12,6.521739130434782
